Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
2908,2017-10-27 04:33:12.38,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:33:12.88,.
2909,2017-10-27 04:33:21.22,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 04:33:21.54,.
2910,2017-10-27 04:33:31.39,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:33:31.55,.
485,2017-10-27 03:06:10.73,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 03F6 FFFF,2017-10-27 03:06:11.83,.
2912,2017-10-27 04:33:51.96,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:33:52.32,.
2913,2017-10-27 04:33:52.07,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:33:52.79,.
2914,2017-10-27 04:33:53.15,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 04:33:53.25,.
2915,2017-10-27 04:34:01.29,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D5 FFFF,2017-10-27 04:34:01.48,.
2916,2017-10-27 04:34:01.59,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:34:02.38,.
486,2017-10-27 03:06:10.74,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C8 FFFF,2017-10-27 03:06:12.21,.
2918,2017-10-27 04:34:13.03,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CE FFFF,2017-10-27 04:34:14.10,.
2919,2017-10-27 04:34:13.26,SWITCH,BCSU-7 1B003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-10-27 04:34:42.59,.
2920,2017-10-27 04:34:13.32,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:34:14.38,.
1461,2017-10-27 03:33:36.73,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 03:33:42.80,.
2922,2017-10-27 04:34:13.42,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D4 FFFF,2017-10-27 04:34:14.25,.
487,2017-10-27 03:06:10.83,SWITCH,BCSU-4 1A004-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C7 FFFF,2017-10-27 03:06:12.33,.
2924,2017-10-27 04:34:13.50,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:34:14.31,.
2925,2017-10-27 04:34:13.53,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:34:14.38,.
2926,2017-10-27 04:34:13.57,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:34:14.17,.
1853,2017-10-27 03:45:11.63,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 03:45:13.09,.
2928,2017-10-27 04:34:13.79,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D7 FFFF,2017-10-27 04:34:14.08,.
488,2017-10-27 03:06:11.04,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 03:06:19.44,.
